Time,LogSeconds,LogMilliseconds,DelayLevelInPercentage,ECU_ON_Injector_Microseconds,ComputedDelayToAddInMicroseconds,DelayAddedInMicroseconds,OnInjectorMicroseconds,OffInjectorMicroseconds,WarningCount,RPMs,NewInjectorDutyCycle (%),EcuInjectorDutyCycle (%)
15:10:46,8,811,5,8300,400,500,8800,51900,0,1980,14.49752883,13.6738056
15:10:46,8,870,5,8200,400,500,8700,51300,0,1993,14.5,13.66666667
15:10:46,8,929,5,8200,400,500,8700,50700,0,2016,14.64646465,13.8047138
15:10:46,8,988,5,8200,400,500,8700,51200,0,2037,14.52420701,13.68948247
15:10:47,9,48,5,8200,400,500,8700,52200,0,2020,14.28571429,13.46469622
15:10:47,9,109,5,8200,400,500,8700,52700,0,1986,14.16938111,13.35504886
15:10:47,9,169,5,8100,400,500,8600,52500,0,1970,14.07528642,13.25695581
15:10:47,9,229,5,8100,400,500,8600,51600,0,1980,14.28571429,13.4551495
15:10:47,9,288,5,8000,400,500,8500,51200,0,2010,14.23785595,13.40033501
15:10:47,9,348,5,8000,400,500,8500,51900,0,2027,14.07284768,13.24503311
15:10:47,9,408,5,8000,400,500,8500,52300,0,2003,13.98026316,13.15789474
15:10:47,9,469,5,8000,400,500,8500,53000,0,1990,13.82113821,13.00813008
15:10:47,9,529,5,8000,400,500,8500,52200,0,1967,14.00329489,13.17957166
15:10:47,9,589,5,7900,300,400,8300,52000,0,1993,13.76451078,13.10116086
15:10:47,9,649,5,8000,400,500,8500,52300,0,2003,13.98026316,13.15789474
15:10:47,9,709,5,7900,300,400,8300,52500,0,1990,13.65131579,12.99342105
15:10:47,9,769,5,7900,300,400,8300,52100,0,1986,13.74172185,13.0794702
15:10:47,9,828,5,7900,300,400,8300,51800,0,2000,13.81031614,13.14475874
15:10:47,9,888,5,7800,300,400,8200,52300,0,2010,13.55371901,12.89256198
15:10:47,9,949,5,7800,300,400,8200,53000,0,1996,13.39869281,12.74509804
15:10:48,10,11,5,7800,300,400,8200,53800,0,1973,13.22580645,12.58064516
15:10:48,10,72,5,7800,300,400,8200,53800,0,1948,13.22580645,12.58064516
15:10:48,10,133,5,7800,300,400,8200,53600,0,1948,13.26860841,12.62135922
15:10:48,10,195,5,7800,300,400,8200,53500,0,1954,13.29011345,12.64181524
15:10:48,10,256,5,7800,300,400,8200,53700,0,1957,13.24717286,12.60096931
15:10:48,10,317,5,7900,300,400,8300,53000,0,1951,13.53996737,12.88743883
15:10:48,10,377,5,7800,300,400,8200,52600,0,1970,13.48684211,12.82894737
15:10:48,10,438,5,7800,300,400,8200,53200,0,1986,13.35504886,12.70358306
15:10:48,10,498,5,7800,300,400,8200,52200,0,1967,13.57615894,12.91390728
15:10:48,10,557,5,7700,300,400,8100,51600,0,2000,13.5678392,12.89782245
15:10:48,10,616,5,7700,300,400,8100,51500,0,2023,13.59060403,12.91946309
15:10:48,10,675,5,7700,300,400,8100,51700,0,2027,13.5451505,12.87625418
15:10:48,10,734,5,7700,300,400,8100,51700,0,2020,13.5451505,12.87625418
